"Domain","Base Domain","URL","Branch","Agency","State","Redirect","Sources","Compliant with M-15-13 and BOD 18-01","Enforces HTTPS","Strict Transport Security (HSTS)","Free of RC4/3DES and SSLv2/SSLv3","3DES","RC4","SSLv2","SSLv3","Preloaded"
"bpb.de","bpb.de","http://www.bpb.de","","Bundeszentrale für politische Bildung","","No","dotgov","No","No","No","No","Yes","No","No","No","No"
"breitbandatlas.de","breitbandatlas.de","http://breitbandatlas.de","","Bundesministerium für Verkehr und digitale Infrastruktur","","No","dotgov","No","No","No","","","","","","No"
"bsg.bund.de","bsg.bund.de","https://www.bsg.bund.de","","Bundessozialgericht","","No","dotgov","No","Yes","No","","","","","","No"
"bsh.de","bsh.de","https://www.bsh.de","","Bundesamt für Seeschifffahrt und Hydrographie","","No","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"bsi.bund.de","bsi.bund.de","https://www.bsi.bund.de","","Bundesamt für Sicherheit in der Informationstechnik","","No","dotgov","Yes","Yes","Yes","","","","","","No"
"bspc2007.de","bspc2007.de","http://bspc2007.de","","Bundestag","","Yes","dotgov","No","No","No","","","","","","No"
"bstu.bund.de","bstu.bund.de","https://bstu.bund.de","","Bundesbeauftragter für die Unterlagen des Staatssicherheitsdienstes der ehemaligen DDR","","Yes","dotgov","No","Yes","No","Yes","No","No","No","No","No"
"bsu-bund.de","bsu-bund.de","https://www.bsu-bund.de","","Bundesstelle für Seeunfalluntersuchung","","No","dotgov","Yes","Yes","Yes","Yes","No","No","No","No","No"
"buehnenversorgung.de","buehnenversorgung.de","http://www.buehnenversorgung.de","","Versorgungsanstalt der Deutschen Bühnen","","No","dotgov","No","No","No","","","","","","No"
"bund.de","bund.de","https://bund.de","","Bundesverwaltungsamt","","No","dotgov","No","Yes","No","","","","","","No"
"bund.online","bund.online","http://bund.online","","Bundesverwaltungsamt","","Yes","dotgov","No","No","No","","","","","","No"
"bund.services","bund.services","http://bund.services","","Bundesverwaltungsamt","","No","dotgov","No","No","No","","","","","","No"
