"Domain","Base Domain","URL","Branch","Agency","State","Redirect","Sources","Compliant with M-15-13 and BOD 18-01","Enforces HTTPS","Strict Transport Security (HSTS)","Free of RC4/3DES and SSLv2/SSLv3","3DES","RC4","SSLv2","SSLv3","Preloaded"
"altenkirchen-pfalz.de","altenkirchen-pfalz.de","https://altenkirchen-pfalz.de","","Altenkirchen (Pfalz)","RP","No","dotgov","No","Yes","No","No","Yes","No","No","No","No"
"altenkunstadt.de","altenkunstadt.de","https://www.altenkunstadt.de","","Altenkunstadt","BY","No","dotgov","No","Yes","No","","","","","","No"
"altenmarkt.de","altenmarkt.de","https://www.altenmarkt.de","","Altenmarkt an der Alz","BY","No","dotgov","No","Yes","No","","","","","","No"
"altenmedingen.de","altenmedingen.de","https://altenmedingen.de","","Altenmedingen","NI","No","dotgov","No","Yes","No","","","","","","No"
"altenmuenster.de","altenmuenster.de","http://altenmuenster.de","","Altenmünster","BY","No","dotgov","No","No","No","","","","","","No"
"altenpleen.de","altenpleen.de","https://www.altenpleen.de","","Preetz","MV","No","dotgov","No","Yes","No","","","","","","No"
"altenriet.de","altenriet.de","http://altenriet.de","","Altenriet","BW","No","dotgov","No","No","No","","","","","","No"
"altenstadt-obb.de","altenstadt-obb.de","https://altenstadt-obb.de","","Altenstadt","BY","No","dotgov","No","Yes","No","","","","","","No"
"altenstadt-vg.de","altenstadt-vg.de","https://altenstadt-vg.de","","Altenstadt","BY","Yes","dotgov","No","Yes","No","","","","","","No"
"altenstadt-waldnaab.de","altenstadt-waldnaab.de","https://altenstadt-waldnaab.de","","Altenstadt an der Waldnaab","BY","No","dotgov","No","Yes","No","","","","","","No"
"altenstadt.de","altenstadt.de","http://www.altenstadt.de","","Altenstadt","HE","No","dotgov","No","No","No","","","","","","No"
"altensteig.de","altensteig.de","https://www.altensteig.de","","Altensteig","BW","No","dotgov","No","Yes","No","","","","","","No"
"altenthann.de","altenthann.de","http://altenthann.de","","Altenthann","BY","No","dotgov","No","No","No","","","","","","No"
