"Domain","URL","Branch","Agency","State","Redirect","Uses HTTPS","Enforces HTTPS","Strict Transport Security (HSTS)","Preloaded (recommended)","SSL Labs Grade"
"salzhemmendorf.de","http://www.salzhemmendorf.de","","Salzhemmendorf","NI","No","No","","","",""
"eichstegen.de","http://www.eichstegen.de","","Eichstegen","BW","Yes","No","","","",""
"ortsgemeinde-gutenacker.de","http://www.ortsgemeinde-gutenacker.de","","Gutenacker","RP","No","No","","","",""
"dreisamportal.de","http://www.dreisamportal.de","","Stegen","BW","No","No","","","",""
"hasloch.de","http://hasloch.de","","Hasloch","BY","No","No","","","",""
"willstaett.de","http://www.willstaett.de","","Willstätt","BW","No","No","","","",""
"gemeinde-koenigsheim.de","http://www.gemeinde-koenigsheim.de","","Königsheim","BW","No","No","","","",""
"gemeinde-luessow.de","http://gemeinde-luessow.de","","Lüssow","MV","No","No","","","",""
"meersburg.de","http://www.meersburg.de","","Meersburg","BW","No","Yes","No","No","",""
"scharnebeck.de","http://www.scharnebeck.de","","Hittbergen","NI","No","No","","","",""
"froehnd.de","http://www.froehnd.de","","Fröhnd","BW","No","No","","","",""
"alzenau.de","http://alzenau.de","","Alzenau","BY","No","No","","","",""
"georgensgmuend.de","http://www.georgensgmuend.de","","Georgensgmünd","BY","No","No","","","",""
"weidenthal.de","http://weidenthal.de","","Weidenthal","RP","No","No","","","",""
"leinfelden-echterdingen.de","http://www.leinfelden-echterdingen.de","","Leinfelden-Echterdingen","BW","No","No","","","",""
"muehlacker.de","http://www.muehlacker.de","","Mühlacker","BW","No","No","","","",""
"schwanewede.de","https://www.schwanewede.de","","Schwanewede","NI","No","Yes","Yes","Yes","",""
"neuhuetten.de","http://www.neuhuetten.de","","Neuhütten","BY","Yes","No","","","",""
